fold,train_samples,test_samples,train_pos_rate,test_pos_rate,auc,accuracy,p10,ic,test_start,test_end
0,14364,2394,0.5263157894736842,0.5263157894736842,0.4620916267741665,0.48370927318295737,0.4476987447698745,-0.04009579585751214,2013-07-08,2014-01-03
1,15561,2394,0.5263157894736842,0.5263157894736842,0.4735379748607262,0.4853801169590643,0.4351464435146444,-0.05343798704016418,2013-10-04,2014-04-04
2,16758,2394,0.5263157894736842,0.5263157894736842,0.4522136838274404,0.4665831244778613,0.41422594142259417,-0.10777180467773007,2014-01-06,2014-07-07
3,17955,2394,0.5263157894736842,0.5263157894736842,0.46815668654292997,0.48955722639933164,0.3472803347280335,-0.05582195541462034,2014-04-07,2014-10-03
4,19152,2394,0.5263157894736842,0.5263157894736842,0.5046758209456623,0.504594820384294,0.3472803347280335,0.03797466678577275,2014-07-08,2015-01-05
5,20349,2394,0.5263157894736842,0.5263157894736842,0.544077013521458,0.5309106098579783,0.5564853556485355,0.0978379429752522,2014-10-06,2015-04-07
6,21546,2394,0.5263157894736842,0.5263157894736842,0.46491559586797687,0.506265664160401,0.301255230125523,-0.06390680147004817,2015-01-06,2015-07-07
7,22743,2394,0.5263157894736842,0.5263157894736842,0.42355127236079615,0.47368421052631576,0.28451882845188287,-0.1788378352513241,2015-04-08,2015-10-05
8,23940,2394,0.5263157894736842,0.5263157894736842,0.5255766915819826,0.5334168755221387,0.502092050209205,-0.012701862853295495,2015-07-08,2016-01-05
9,25137,2394,0.5263157894736842,0.5263157894736842,0.5185815066767447,0.5229741019214703,0.5481171548117155,-0.03514954250184322,2015-10-06,2016-04-06
10,26334,2394,0.5263157894736842,0.5263157894736842,0.5006144844769184,0.5041771094402674,0.5271966527196653,-0.007962572369400362,2016-01-06,2016-07-06
11,27531,2394,0.5263157894736842,0.5263157894736842,0.5571848492483413,0.545530492898914,0.606694560669456,0.09855528279952556,2016-04-07,2016-10-04
12,28728,2394,0.5263157894736842,0.5263157894736842,0.5410766775846141,0.5446950710108605,0.5983263598326359,0.11981941295073945,2016-07-07,2017-01-04
13,29925,2394,0.5263157894736842,0.5263157894736842,0.4603531536071218,0.46365914786967416,0.45188284518828453,-0.07942601166138588,2016-10-05,2017-04-05
14,31122,2394,0.5263157894736842,0.5263157894736842,0.5071533551692282,0.5071010860484545,0.6108786610878661,-0.02403028501822538,2017-01-05,2017-07-06
15,32319,2394,0.5263157894736842,0.5263157894736842,0.4066319531927998,0.4327485380116959,0.3514644351464435,-0.18737453383962518,2017-04-06,2017-10-04
16,33516,2394,0.5263157894736842,0.5263157894736842,0.41002911452646906,0.4402673350041771,0.2719665271966527,-0.13659229447878474,2017-07-07,2018-01-04
17,34713,2394,0.5263157894736842,0.5263157894736842,0.49396083536295177,0.5071010860484545,0.5230125523012552,0.021259860333610082,2017-10-05,2018-04-06
18,35910,2394,0.5263157894736842,0.5263157894736842,0.49093810363651635,0.5146198830409356,0.5146443514644351,0.037511155215418944,2018-01-05,2018-07-06
19,37107,2394,0.5263157894736842,0.5263157894736842,0.4712641023487585,0.4678362573099415,0.5313807531380753,-0.02552794802602271,2018-04-09,2018-10-04
20,38304,2394,0.5263157894736842,0.5263157894736842,0.5304064835810869,0.5263157894736842,0.5983263598326359,-0.004377949979433045,2018-07-09,2019-01-07
21,39501,2394,0.5263157894736842,0.5263157894736842,0.5893403040228438,0.591060985797828,0.5523012552301255,0.12366638661159922,2018-10-05,2019-04-08
22,40698,2394,0.5263157894736842,0.5263157894736842,0.4765068167184569,0.49081035923141186,0.4686192468619247,-0.08743559285977599,2019-01-08,2019-07-09
23,41895,2394,0.5263157894736842,0.5263157894736842,0.45296534251560705,0.4640768588137009,0.4602510460251046,-0.057820359466422645,2019-04-09,2019-10-07
24,43092,2394,0.5263157894736842,0.5263157894736842,0.45837952464936593,0.474937343358396,0.49372384937238495,-0.0970426125722409,2019-07-10,2020-01-07
25,44289,2394,0.5263157894736842,0.5263157894736842,0.46642171271800903,0.4778613199665831,0.5062761506276151,-0.10406560656419085,2019-10-08,2020-04-07
26,45486,2394,0.5263157894736842,0.5263157894736842,0.5774026483021192,0.5459482038429407,0.6317991631799164,0.11879328474940565,2020-01-08,2020-07-08
27,46683,2394,0.5263157894736842,0.5263157894736842,0.5477079309089892,0.5225563909774437,0.6485355648535565,0.08156597918086445,2020-04-08,2020-10-06
28,47880,2394,0.5263157894736842,0.5263157894736842,0.50582220542538,0.4928989139515455,0.6820083682008368,0.012852017035904476,2020-07-09,2021-01-06
29,49077,2394,0.5263157894736842,0.5263157894736842,0.49406441588981276,0.5104427736006684,0.502092050209205,-0.05198678274437742,2020-10-07,2021-04-08
30,50274,2394,0.5263157894736842,0.5263157894736842,0.560692589793119,0.5877192982456141,0.37656903765690375,0.09790647653824293,2021-01-07,2021-07-08
31,51471,2394,0.5263157894736842,0.5263157894736842,0.5110250272948687,0.5279866332497911,0.5104602510460251,-0.011921147849318652,2021-04-09,2021-10-06
32,52668,2392,0.5263157894736842,0.5263377926421404,0.5076375077377568,0.5142140468227425,0.5815899581589958,-0.06576732957390509,2021-07-09,2022-01-01
33,53865,2392,0.5263157894736842,0.5263377926421404,0.5576456748831187,0.5464046822742475,0.6527196652719666,0.09766496253443575,2021-10-07,2022-03-18
34,55060,2394,0.5263167453686887,0.5263157894736842,0.5320714705635341,0.531328320802005,0.6652719665271967,0.07691113647959312,2022-01-03,2022-06-17
35,56257,2394,0.5263167250297741,0.5263157894736842,0.43868942638783914,0.46950710108604843,0.4686192468619247,-0.04544664999388339,2022-03-21,2022-09-19
36,57454,2394,0.5263167055383438,0.5263157894736842,0.4926023907505389,0.47076023391812866,0.7573221757322176,-0.012731048655789223,2022-06-21,2022-12-12
37,58651,2394,0.5263166868425091,0.5263157894736842,0.5617304946670025,0.5409356725146199,0.6861924686192469,0.07341486954525206,2022-09-20,2023-02-28
38,59848,2394,0.5263166688945328,0.5263157894736842,0.5503450351333949,0.543859649122807,0.6150627615062761,0.09119971619898204,2022-12-13,2023-05-25
39,61045,2394,0.5263166516504219,0.5263157894736842,0.5142339240222839,0.5008354218880535,0.6485355648535565,-0.01737777203402499,2023-03-01,2023-08-25
40,62242,2394,0.5263166350695672,0.5263157894736842,0.46604028442652784,0.46616541353383456,0.5899581589958159,-0.06952783676418985,2023-05-26,2023-11-21
